mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
4.3,"231 km ENE of Lospalos, Timor Leste",1653523007692,1653525487040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hcjf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hcjf&format=geojson,,,,,reviewed,0,284,us,7000hcjf,",us7000hcjf,",",us,",",origin,phase-data,",,2.575,0.47,65.0,mb,earthquake,"M 4.3 - 231 km ENE of Lospalos, Timor Leste"
2.6,"56 km S of Whites City, New Mexico",1653522766400,1653589914147,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022kexs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022kexs&format=geojson,,,,,reviewed,0,104,tx,2022kexs,",us7000hcjb,tx2022kexs,",",us,tx,",",origin,phase-data,",9.0,0.116324702,0.2,68.0,ml,earthquake,"M 2.6 - 56 km S of Whites City, New Mexico"
5.0,"98 km NNW of Neiafu, Tonga",1653522062414,1653523671040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000hcja,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000hcja&format=geojson,,,,,reviewed,0,385,us,7000hcja,",us7000hcja,",",us,",",origin,phase-data,",,4.708,0.63,125.0,mb,earthquake,"M 5.0 - 98 km NNW of Neiafu, Tonga"
0.36,"6km WNW of Cobb, CA",1653521910980,1653522913211,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73737926,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73737926&format=geojson,,,,,automatic,0,2,nc,73737926,",nc73737926,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.001924,0.01,78.0,md,earthquake,"M 0.4 - 6km WNW of Cobb, CA"
1.17,"13km SE of Anza, CA",1653521862800,1653585747540,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026815,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026815&format=geojson,,,,,reviewed,0,21,ci,40026815,",ci40026815,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",44.0,0.0317,0.13,44.0,ml,earthquake,"M 1.2 - 13km SE of Anza, CA"
0.7,"28 km SSE of Mina, Nevada",1653521475152,1653532833853,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00839657,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00839657&format=geojson,,,,,reviewed,0,8,nn,00839657,",nn00839657,",",nn,",",origin,phase-data,",12.0,0.019,0.1567,139.41,ml,earthquake,"M 0.7 - 28 km SSE of Mina, Nevada"
0.02,"10km SW of Anza, CA",1653520609750,1653521707969,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026791,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026791&format=geojson,,,,,reviewed,0,0,ci,40026791,",ci40026791,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.07354,0.09,124.0,ml,earthquake,"M 0.0 - 10km SW of Anza, CA"
1.27,"5km NW of Boron, CA",1653520474810,1653521498201,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40026783,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40026783&format=geojson,,,,,reviewed,0,25,ci,40026783,",ci40026783,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.105,0.16,108.0,ml,quarry blast,"M 1.3 Quarry Blast - 5km NW of Boron, CA"
1.0,"64 km WNW of Karluk, Alaska",1653520391323,1653520541503,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0226o6p3p8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0226o6p3p8&format=geojson,,,,,automatic,0,15,ak,0226o6p3p8,",ak0226o6p3p8,",",ak,",",origin,phase-data,",,,0.36,,ml,earthquake,"M 1.0 - 64 km WNW of Karluk, Alaska"
1.5,"8 km NE of Fox, Alaska",1653519941041,1653520112257,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0226o6ng9q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0226o6ng9q&format=geojson,,,,,automatic,0,35,ak,0226o6ng9q,",ak0226o6ng9q,",",ak,",",origin,phase-data,",,,0.94,,ml,earthquake,"M 1.5 - 8 km NE of Fox, Alaska"
